shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10195,45.430989,-75.713136,160003
10195,45.429980,-75.713315,160004
10195,45.429962,-75.713314,160005
10195,45.429935,-75.713340,160006
10195,45.429674,-75.713375,160007
10195,45.429114,-75.713479,160008
10195,45.429114,-75.713479,170001
10195,45.428710,-75.713554,170002
10195,45.427493,-75.713756,170003
10195,45.425959,-75.714008,170004
10195,45.425959,-75.714008,180001
10195,45.424654,-75.714014,180002
10195,45.424654,-75.714014,190001
10195,45.424963,-75.720393,190002
10196,45.490821,-75.643259,10001
10196,45.490729,-75.643630,10002
10196,45.490701,-75.643796,10003
10196,45.490692,-75.643860,10004
10196,45.490692,-75.643911,10005
10196,45.490709,-75.644001,10006
10196,45.490700,-75.643988,10007
10196,45.490682,-75.643975,10008
10196,45.490673,-75.643949,10009
10196,45.490620,-75.643910,10010
10196,45.490575,-75.643910,10011
10196,45.490538,-75.643935,10012
10196,45.490575,-75.643872,10013
10196,45.490611,-75.643795,10014
10196,45.490666,-75.643642,10015
10196,45.490777,-75.643144,10016
10196,45.490925,-75.642442,10017
10196,45.491017,-75.642111,10018
10196,45.491054,-75.641970,10019
10196,45.491055,-75.641791,10020
10196,45.491037,-75.641740,10021
10196,45.491028,-75.641676,10022
10196,45.491001,-75.641662,10023
10196,45.490965,-75.641636,10024
10196,45.490911,-75.641636,10025
10196,45.490893,-75.641648,10026
10196,45.490866,-75.641661,10027
10196,45.490848,-75.641673,10028
10196,45.490830,-75.641699,10029
10196,45.490821,-75.641724,10030
10196,45.490838,-75.641814,10031
10196,45.490737,-75.642325,10032
10196,45.490543,-75.643155,10033
10196,45.490413,-75.643735,10034
10196,45.490413,-75.643735,20001
10196,45.490331,-75.644099,20002
10196,45.490267,-75.644188,20003
10196,45.490230,-75.644328,20004
10196,45.490139,-75.644622,20005
10196,45.490019,-75.644991,20006
10196,45.489909,-75.645361,20007
10196,45.489587,-75.646650,20008
10196,45.489274,-75.647901,20009
10196,45.486791,-75.658724,20010
10196,45.486597,-75.659579,20011
10196,45.486430,-75.660306,20012
10196,45.486301,-75.660919,20013
10196,45.486309,-75.661162,20014
10196,45.486225,-75.661520,20015
10196,45.486145,-75.661906,20016
10196,45.486145,-75.661906,30001
10196,45.486133,-75.661966,30002
10196,45.486069,-75.662081,30003
10196,45.485960,-75.662348,30004
10196,45.485867,-75.662744,30005
10196,45.483244,-75.674204,30006
10196,45.483216,-75.674319,30007
10196,45.483096,-75.674816,30008
10196,45.482634,-75.676833,30009
10196,45.482246,-75.678543,30010
10196,45.481747,-75.680673,30011
10196,45.481719,-75.680839,30012
10196,45.481636,-75.681235,30013
10196,45.481608,-75.681363,30014
10196,45.481589,-75.681567,30015
10196,45.481597,-75.681746,30016
10196,45.481532,-75.682142,30017
10196,45.481494,-75.682385,30018
10196,45.481411,-75.682717,30019
10196,45.481208,-75.683559,30020
10196,45.481055,-75.684252,30021
10196,45.481055,-75.684252,40001
10196,45.481051,-75.684273,40002
10196,45.480987,-75.684413,40003
10196,45.480923,-75.684643,40004
10196,45.480868,-75.684809,40005
10196,45.480758,-75.685127,40006
10196,45.480675,-75.685408,40007
10196,45.480592,-75.685778,40008
10196,45.480407,-75.686556,40009
10196,45.480194,-75.687462,40010
10196,45.480167,-75.687589,40011
10196,45.479788,-75.689248,40012
10196,45.479390,-75.690945,40013
10196,45.479205,-75.691749,40014
10196,45.478983,-75.692757,40015
10196,45.478586,-75.694454,40016
10196,45.478428,-75.695194,40017
10196,45.478234,-75.696036,40018
10196,45.478031,-75.696904,40019
10196,45.477977,-75.697170,40020
10196,45.477977,-75.697170,50001
10196,45.477920,-75.697452,50002
10196,45.477809,-75.697912,50003
