route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
59-1048,_16PR2-H01M016A-Samedi-01,32796964-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449967,590433,0
52-1048,_16PR2-H01M016A-Samedi-01,32796965-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449967,520118,0
51-1048,_16PR2-H01M016A-Samedi-01,32796966-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449967,510121,0
59-1048,_16PR2-H01M016A-Samedi-01,32796967-_16PR2-H01M016A-Samedi-01,"OTTAWA via PORTAGE",1,4449967,590439,0
59-1048,_16PR2-H01M016A-Samedi-01,32796968-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449895,590433,0
52-1048,_16PR2-H01M016A-Samedi-01,32796969-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449895,520118,0
51-1048,_16PR2-H01M016A-Samedi-01,32796970-_16PR2-H01M016A-Samedi-01,"Wilfrid-Lavigne",1,4449895,510123,0
37-1048,_16PR2-H01M016A-Samedi-01,32796971-_16PR2-H01M016A-Samedi-01,"Ottawa via Portage",1,4449915,370322,1
266-1048,_16PR2-H01M016A-Samedi-01,32796972-_16PR2-H01M016A-Samedi-01,"Station La Gappe via Mont-Luc/Du Barry",1,4449860,2660046,1
264-1048,_16PR2-H01M016A-Samedi-01,32796973-_16PR2-H01M016A-Samedi-01,"Aréna Beaudry via Cannes",0,4449860,2640090,1
266-1048,_16PR2-H01M016A-Samedi-01,32796974-_16PR2-H01M016A-Samedi-01,"Station La Gappe via Mont-Luc/Du Barry",1,4449860,2660046,1
263-1048,_16PR2-H01M016A-Samedi-01,32796975-_16PR2-H01M016A-Samedi-01,"Station La Cité via Promenades",0,4449886,2630049,1
33-1048,_16PR2-H01M016A-Samedi-01,32796976-_16PR2-H01M016A-Samedi-01,"Ottawa via Cgp GRoy",1,4449886,330421,1
431-1048,_16PR2-H01M016A-Samedi-01,32796977-_16PR2-H01M016A-Samedi-01,"Cgp GRoy via Riel",0,4449886,4310078,1
31-1048,_16PR2-H01M016A-Samedi-01,32796978-_16PR2-H01M016A-Samedi-01,"Ottawa via Alexandra",1,4449886,310177,1
33-1048,_16PR2-H01M016A-Samedi-01,32796979-_16PR2-H01M016A-Samedi-01,"Station Cité via GRoy",0,4449886,330453,1
263-1048,_16PR2-H01M016A-Samedi-01,32796980-_16PR2-H01M016A-Samedi-01,"Station La Gappe via Promenades",1,4449864,2630050,1
263-1048,_16PR2-H01M016A-Samedi-01,32796981-_16PR2-H01M016A-Samedi-01,"Station La Cité via Promenades",0,4449864,2630049,1
264-1048,_16PR2-H01M016A-Samedi-01,32796982-_16PR2-H01M016A-Samedi-01,"Aréna Beaudry via Cannes",0,4449860,2640090,1
37-1048,_16PR2-H01M016A-Samedi-01,32796983-_16PR2-H01M016A-Samedi-01,"Ottawa via Portage",1,4449972,370322,1
39-1048,_16PR2-H01M016A-Samedi-01,32796985-_16PR2-H01M016A-Samedi-01,"FREEMAN via PLATEAU",0,4449972,390496,1
37-1048,_16PR2-H01M016A-Samedi-01,32796986-_16PR2-H01M016A-Samedi-01,"Cegep Gabrielle-Roy via St-Joseph",0,4449931,370315,1
51-1048,_16PR2-H01M016A-Samedi-01,32796987-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449942,510134,1
53-1048,_16PR2-H01M016A-Samedi-01,32796988-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449942,530073,1
257-1048,_16PR2-H01M016A-Samedi-01,32796989-_16PR2-H01M016A-Samedi-01,"STATION LA CITÉ via TERRASSES CHAUDIÈRE",0,4449942,2570120,1
33-1048,_16PR2-H01M016A-Samedi-01,32796990-_16PR2-H01M016A-Samedi-01,"Ottawa via Cgp GRoy",1,4449976,330418,1
431-1048,_16PR2-H01M016A-Samedi-01,32796992-_16PR2-H01M016A-Samedi-01,"Cgp GRoy via Riel",0,4449976,4310078,1
31-1048,_16PR2-H01M016A-Samedi-01,32796993-_16PR2-H01M016A-Samedi-01,"Ottawa via Alexandra",1,4449964,310177,1
33-1048,_16PR2-H01M016A-Samedi-01,32796994-_16PR2-H01M016A-Samedi-01,"Station Cité via GRoy",0,4449964,330453,1
257-1048,_16PR2-H01M016A-Samedi-01,32796995-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD via TERRASSES CHAUDIÈRE",1,4449964,2570119,1
59-1048,_16PR2-H01M016A-Samedi-01,32796996-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449942,590433,1
51-1048,_16PR2-H01M016A-Samedi-01,32796997-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449949,510121,0
257-1048,_16PR2-H01M016A-Samedi-01,32796998-_16PR2-H01M016A-Samedi-01,"STATION LA CITÉ via TERRASSES CHAUDIÈRE",0,4449949,2570120,0
75-1048,_16PR2-H01M016A-Samedi-01,32796999-_16PR2-H01M016A-Samedi-01,"Lorrain/La Vérendrye via Notre-Dame",0,4449949,750002,0
75-1048,_16PR2-H01M016A-Samedi-01,32797000-_16PR2-H01M016A-Samedi-01,"Station La Cité via Notre-Dame",1,4449949,750001,0
276-1048,_16PR2-H01M016A-Samedi-01,32797001-_16PR2-H01M016A-Samedi-01,"Station Labrosse via La Vérendrye",0,4449923,2760038,0
271-1048,_16PR2-H01M016A-Samedi-01,32797002-_16PR2-H01M016A-Samedi-01,"Station La Cité via Davidson",1,4449960,2710052,1
33-1048,_16PR2-H01M016A-Samedi-01,32797003-_16PR2-H01M016A-Samedi-01,"Ottawa via Cgp GRoy",1,4449960,330418,1
431-1048,_16PR2-H01M016A-Samedi-01,32797005-_16PR2-H01M016A-Samedi-01,"Cgp GRoy via Riel",0,4449960,4310078,1
31-1048,_16PR2-H01M016A-Samedi-01,32797006-_16PR2-H01M016A-Samedi-01,"Ottawa via Alexandra",1,4449960,310177,1
33-1048,_16PR2-H01M016A-Samedi-01,32797007-_16PR2-H01M016A-Samedi-01,"Station Cité via GRoy",0,4449960,330453,1
52-1048,_16PR2-H01M016A-Samedi-01,32797008-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449949,520118,0
39-1048,_16PR2-H01M016A-Samedi-01,32797009-_16PR2-H01M016A-Samedi-01,"FREEMAN via PLATEAU",0,4449931,390496,1
37-1048,_16PR2-H01M016A-Samedi-01,32797010-_16PR2-H01M016A-Samedi-01,"Ottawa via Portage",1,4449919,370322,1
59-1048,_16PR2-H01M016A-Samedi-01,32797011-_16PR2-H01M016A-Samedi-01,"OTTAWA via PORTAGE",1,4449932,590439,1
37-1048,_16PR2-H01M016A-Samedi-01,32797013-_16PR2-H01M016A-Samedi-01,"Cegep Gabrielle-Roy via St-Joseph",0,4449932,370315,1
